// ************* TELAS *************

//FORM BASE
btnAlta												=插入
016_lbl_punto_servicio								= PUNTO服务
016_btn_punto_servicio								= 搜索Punto的服务
016_lbl_fecha_conteo								= 日期计数
016_lbl_fecha_conteo_desde							= 的
016_lbl_fecha_conteo_hasta							= 至
016_lbl_fecha_transporte							= 数据传输
016_lbl_fecha_transporte_desde						= 的
016_lbl_fecha_transporte_hasta						= 至
016_lbl_contador									= 计数器
016_lbl_supervisor									= 监
016_btn_buscar										= 寻求
016_btn_limpar										= 清洁
016_titulo_grid										= 发现汇款
016_btn_visualizar									= 想象
016_btn_voltar										= 返回
016_col_fecha_conteo								= 日期计数
016_col_precinto_remesa								= 密封出货
016_col_codigo_transporte							= 运输代号
016_col_fecha_transporte							= 数据传输
016_col_cliente										= 顾客
016_col_subcliente									= 子客户端
016_col_punto_servicio								= 服务点
016_msg_remesa_obligatoria							= 你必须选择一个出货。

//TELA BUSQUEDA PARTE DE DIFERENCIAS - DOCUMENTOS
017_titulo_pagina									= 部分差异 - 文件
017_lbl_precinto									= 密封出货
017_col_fecha_creacion								= 创建日期
017_col_numero_documento							= 文件编号
017_col_doc_general									= 文件一般/袋/部分
017_col_doc_incidencia								= 发病文件
017_col_doc_justificacion							= 理由说明文件
017_btn_visualizar									= 想象
017_btn_volver										= 返回
017_msg_documento_obligatorio						= 你必须至少选择一个文档。

//TELA BUSQUEDA PUNTO SERVICIO
018_titulo_pagina									= 搜索服务点
018_titulo_busqueda									= 搜索条件
018_titulo_resultado								= 客户
018_lbl_gdr_codigo									= 码
018_lbl_gdr_descripcion								= 描述
018_codigo_puntoservicio							= 服务代码点
018_descricao_puntoservicio							= 说明服务点
018_seleccione_un_puntoservicio						= 选择一个服务点
018_lbl_gdr_codigocliente						    = 客户代码
018_lbl_gdr_descripcioncliente					    = 说明。顾客
018_lbl_gdr_codigosubcliente					    = 子客户端代码
018_lbl_gdr_descripcionsubcliente				    = 说明。子客户端
018_lbl_gdr_codigopuntoservicio					    = 代码PTO。服务
018_lbl_gdr_descripcionpuntoservicio			    = 说明。 PTO。服务

//TELA REPORTAR PEDIDO BCP
020_titulo_pagina												= 报告请求BCP
020_lbl_delegacion											= 代表团
020_lbl_tipo_especie											= 类型种类
020_lbl_tipo_deposito										= 矿床类型
020_lbl_fecha_conteo										= 日期计数
020_lbl_fecha_conteo_desde							= 的
020_lbl_fecha_conteo_hasta							= 至
020_btn_reportar													= 报告
020_btn_limpar													= 清洁
020_lbl_titulo_busqueda								    = 搜索Request集合
020_lbl_titulo_reportado							    = 报告的要求
020_lst_especie_moneda									=  0 - 货币
020_lst_especie_billete										=  1 - 请注意
020_lst_deposito_centralizado						=  1 - 集中
020_lst_deposito_servilock								=  2 - Servilock
020_lbl_fecha_ultimo_envio								= 最后日期时间出货：
020_btn_atualizar									= 更新
020_col_especie										= 种类
020_col_deposito									= 存款
020_col_fecha_desde									= 日期由
020_col_fecha_hasta									= 截至日期
020_col_delegacion									= 代表团
020_col_estado										= 州
020_col_observacion									= 意见
020_col_fecha_creacion								= 创建日期
020_msg_sin_datos_retorno							= 没有注册过程中要显示的项目。

//TELA BUSQUEDA INFORME RESULTADO CONTAJE
019_titulo_pagina									= 信息结果计数
019_lbl_titulo_busqueda								= 搜索结果计数信息
019_lbl_delegacion									= 代表团
019_lbl_precinto_remesa								= 密封出货
019_lbl_precinto_bulto								= 密封袋
019_lbl_numero_albaran								= 交通号
019_lbl_cliente										= 顾客
019_btn_cliente										= 搜索客户
019_lbl_subcliente									= 子客户端
019_btn_subcliente									= 搜索子客户端
019_lbl_punto_servicio								= PUNTO服务
019_btn_punto_servicio								= 搜索Punto的服务
019_lbl_fecha_conteo								= 日期计数
019_lbl_fecha_conteo_desde							= 的
019_lbl_fecha_conteo_hasta							= 至
019_lbl_fecha_transporte							= 数据传输
019_lbl_fecha_transporte_desde						= 的
019_lbl_fecha_transporte_hasta						= 至
019_btn_buscar										= 寻求
019_btn_limpar										= 清洁
019_titulo_grid										= 发现汇款
019_btn_visualizar									= 想象
019_btn_voltar										= 返回
019_msg_remesa_obligatoria							= 你必须选择一个出货。
019_col_fecha_conteo								= 日期计数
019_col_precinto_remesa								= 密封出货
019_col_codigo_transporte							= 运输代号
019_col_fecha_transporte							= 数据传输
019_col_cliente										= 顾客
019_col_subcliente									= 子客户端
019_col_punto_servicio								= 服务点

rpt_019_lbl_titulo_projecto							= 忌讳
rpt_019_lbl_titulo_reporte							= 报告结果计数
rpt_019_lbl_titulo_empresa							= 巴西PROSEGUR的S / A
rpt_019_lbl_datos_cliente							= 客户数据
rpt_019_lbl_cod_delegacion							= 代码代表团
rpt_019_lbl_cliente									= 顾客
rpt_019_lbl_sucursal								= 分公司
rpt_019_lbl_fecha_recorida							= 数据传输
rpt_019_lbl_datos_prosegur							= 数据PROSEGUR
rpt_019_lbl_fecha_conteo							= 日期计数
rpt_019_lbl_codigo_transporte						= 发行代码运输。
rpt_019_lbl_codigo_usuario							= 用户
rpt_019_lbl_parciales_contados						= 完整的电话号码
rpt_019_lbl_titulo_iac								= 字段IAC
rpt_019_precintobulto 				                = 密封袋
rpt_019_precintoparcial                         	= 型号
rpt_019_precintoremesa				                = 密封出货
rpt_019_precintosbultos                         	= 密封袋
rpt_019_precintosparciales                     		= 完整的电话号码
rpt_019_lbl_resultado_general_titulo				= 一般结果计数
rpt_019_lbl_nro_parciales_declarados				= 发行部分声明
rpt_019_lbl_nro_parciales_contados					= 发行部分的计数
rpt_019_lbl_nro_parciales_diferencia				= 部分差异
rpt_019_lbl_resultado_general_moneda				= 货币
rpt_019_lbl_resultado_general_declarado				= 宣
rpt_019_lbl_resultado_general_contado				= 计数
rpt_019_lbl_resultado_general_falta					= 缺乏
rpt_019_lbl_resultado_general_sobra					= 吃剩的
rpt_019_lbl_resultado_general_falsos				= 假
rpt_019_lbl_detalle_conteo_titulo					= 详细计数
rpt_019_lbl_detalle_denominacion					= 面值
rpt_019_lbl_detalle_importe							= 进口
rpt_019_lbl_detalle_contado							= 计数
rpt_019_lbl_detalle_unidades						= 单位
rpt_019_lbl_detalle_falsos							= 假
rpt_019_lbl_detalle_deteriorados					= 恶化
rpt_019_lbl_detalle_grandtotal						= 总总
rpt_019_lbl_detalle_parciales_titulo				= 细节部分
rpt_019_lbl_detalle_parciales_parcial				= 无偏
rpt_019_lbl_detalle_parciales_divisa				= 座右铭
rpt_019_lbl_detalle_parciales_cliente				= 顾客
rpt_019_lbl_detalle_parciales_subcliente			= 子客户端
rpt_019_lbl_detalle_parciales_punto_servicio		= PTO服务
rpt_019_lbl_detalle_parciales_declarado				= 宣
rpt_019_lbl_detalle_parciales_contado				= 计数
rpt_019_lbl_observaciones_titulo					= 评论
rpt_019_lbl_precintos_parciales						= 部分关闭
rpt_019_lbl_numero_parcial							= 型号
rpt_019_lbl_comentario								= 评论
rpt_019_lbl_supervisor								= 监
rpt_019_lbl_codigo_motivo							= 故障代码

//TELA BÚSQUEDA PUESTO

021_titulo_busqueda_puestos							= 搜索帖子
021_lbl_subtitulospuestos							= 帖子
021_lbl_subtituloscriteriosbusqueda					= 搜索条件
021_lbl_sem_registro						        = 有没有记录。
021_lbl_vigente										= 目前
021_lbl_codigopuesto								= 代码后
021_lbl_hostpuesto									= 主机puesto
021_chk_vigente 									= 强制
021_chk_no_vigente 									= 尚未生效
021_chk_cualquiera 									= 任何
021_lbl_delegacion									= 代表团
021_seleccione_un_puesto							= 选择一个电台

//TELA BÚSQUEDA OPERARIO

022_titulo_busqueda_operario						= 工人搜索
022_lbl_subtitulosoperario							= 工人
022_lbl_subtituloscriteriosbusqueda					= 搜索条件
022_lbl_sem_registro						        = 有没有记录。
022_lbl_nombre										= 名
022_lbl_apellido									= 姓
022_lbl_login										= 注册
022_lbl_delegacion									= 代表团
022_seleccione_un_operario							= 选择一个工人

// token
tkn_token_nao_consumida                             = 访问令牌无效或过期
tkn_tokenutil_token_invalida                        = 访问令牌无效

//TELA REPORTES
023_titulo_pagina									= 报告
023_lblSubTituloreportes							= 报告
023_lblDelegacion									= 代表团
023_lblFechaConteo									= 日期禁忌
023_lblFechaTransporte								= 数据传输
023_btnAdicionar									= 新的配置
023_btnEditar										= 设置报表
023_btnExcluir										= 删除配置报告
023_btnGerarRelatorio								= 生成选定报告
023_msg_error_rangofecha							= 中的至少一个日期范围来填补。
023_msg_error_reporte_vazio							= 报告至少有一个必须选择。
023_msg_error_reporte_unico							= 请选择只有一个配置。
023_msg_alert_excluir								= 要删除吗？
023_err_campo_data_invalida							= 字段“{0}”不填充具有有效日期。
023_msg_error_selecionar_reporte					= 请选择一个报告。
023_col_selecionar									= 选择
023_col_reporte										= 报告
023_col_descricao									= 描述
023_msg_erro_generico_configuracion_reporte 		= 报告“{0}”配置“{1}”并没有产生。错误：“{2}”。
023_msg_erro_sinParametros							= 配置的报告“{0}”没有参数。
023_msg_erro_sinParametrosCliente					= 配置的报告“{0}”有没有客户或集团客户。
023_msg_erro_singrupoCliente						= 找不到客户集团“{0}”知情配置“{1}”。
023_msg_erro_campoObrigatorioConfiguracion			= 字段“{0}”是必需的配置“{1}”。
023_msg_erro_reporteNaoEncontrado					= 报告没有被发现或报告的基础上，配置有错误“{0}”。错误详细信息：{1}。
023_msgDiretorioInvalido							= 无效配置目录“{0}”。
023_msg_erro_formatoArchivoInvalido					= 配置在输入输出格式为“{0}”是无效的。
023_msg_erro_clienteObrigatorio						= 客户端配置“{0}”没有被告知。
023_msg_erro_subclienteObrigatorio					= 客户端配置“{0}”没有被告知。
023_msg_erro_ptoServicoObrigatorio					= 服务点配置“{0}”不通知。
023_msg_erro_grupoClienteObrigatorio				= 本集团的客户端配置“{0}”没有被告知。
023_msg_erro_canalObrigatorio						= 通道设置为“{0}”没有被告知。
023_msg_erro_subCanalObrigatorio					= 子信道配置“{0}”没有被告知。
023_msg_erro_divisaObrigatorio						= 配置的座右铭“{0}”不通知。
023_msg_erro_puestoObrigatorio						= puesto配置“{0}”没有被告知。
023_msg_erro_contadorObrigatorio					= 计数器配置“{0}”没有被告知。
023_msg_erro_delegacaoObrigatorio					= 代表团配置“{0}”没有被告知。
023_btnConfiguracionGeneral							= 常规设置
023_msg_erro_parametro_obligatorio					= 参数“{0}”是强制性的。
023_msg_erro_reporte_nao_localizado 				= 报告 "{0}" 配置 "{1}" 未发现在报告服务器。
023_msg_diretorio_reportes_invalido					= 报告定义的目录不存在或无法访问。


//TELA CONFIGURAÇÃO REPORTES
024_titulo_pagina									= 配置报告
024_lblDescricaoConfiguracao						= 说明设置
024_lblReporte										= 报告
024_lblDelegacion									= 代表团
024_lblFechaRecaudacionIni							= 日期计数
024lblFechaTransporteIni							= 数据传输
024_lblCliente										= 顾客
024_btnCliente										= 搜索客户
024_lblSubCliente									= 子客户端
024_btnSubCliente									= 搜索子客户端
024_lblPuntoServicio								= 服务点
024_btnPuntoServicio								= 搜索服务点
024_lblGrupoClientes								= 集团客户
024_lblCanal										= 渠道
024_lblSubCanal										= 子信道
024_lblPuesto										= 邮寄
024_lblDivisa										= 座右铭
024_lblContador										= 计数器
024_chkAgruparClientes								= 集团客户
024_chkAgruparSubClientes							= 集团子客户端
024_chkAgruparPuntosServicios						= 集团服务点
024_chkAgruparGrupoClientes							= 按客户集团
024_lblRuta											= 路线
024_lblFormatoArchivo								= 输出格式
024_rbnCSV											= CSV
024_rbnPDF											= PDF
024_rbnEXCEL										= EXCEL
024_rbnEXCEL2010									= EXCELOPENXML
024_rbnHTML											= MHTML
024_btnGenerarInforme								= 生成报告
024_msgDiretorioInvalido							= 无效目录
024_lblCodigoConfiguracion							= 代码设置
024_lblDescripcion 									= 说明设置
024_lblNombreArchivo 								= 文件名
024_msg_erro_reporte_nao_localizado 				= 残留 "{0}" 在报表服务器中没有被发现。
024_erro_config_reporte								= 該報告“{0}”不是所有正確的設置。請檢查參數“{1}”

//USER CONTROL DELEGACION E DATA
025_lbldelegacion									= 代表团

//TELA CONFIGURAÇÃO GERAL DE RELATÓRIO
026_titulo_pagina									= 一般配置报告
026_col_selecionar									= 选择
026_col_DesReporte									= 报告
026_col_CodReporte									= ID
026_col_FormatoArchivo								= 文件格式
026_col_NombreArchivo								= 文件名
026_col_ExtensionArchivo							= 文件扩展名
026_col_Separador									= 分离器

//TELA CONFIGURAÇÃO GERAL DE RELATÓRIO E CONFIRGURACIONREPORT
027_titulo_pagina									= Manuntenção一般配置报告
027_lbl_Reporte										= 报告
027_lbl_IDReporte									= ID报告
027_lbl_FormatoArchivo								= 文件格式
027_lbl_NombreArchivo								= 文件名
027_lbl_ExtensionArchivo							= 文件扩展名
027_lbl_Separador									= 分离器
027_campoObrigatorio								= 该字段{0}是必需的。
027_separador_invalido								= 字段分隔符不能为空。输入T为制表F固定，或其他字符，如标签。
027_msg_tag_fechamento								= 现场：{0}。标签：{1}没有正确关闭。
027_msg_formato_invalido							= 现场：{0}。无效的格式。
027_msg_falta_igual									= 现场：{0}。标签（）必须有两个标签和内部
027_msg_falta_parametro_anterior					= 现场：{0}。前标签：{1}：必须被告知的标签：[XX]，{XX}}，@ XX（XX
027_msg_campo										= 现场：{0}。
027_msg_campo_vazio									= 现场：{0}。标签：{1}不能为空。
027_msg_tag_invalida								= 现场：{0}。标签：{1}是无效的。标签：[XX]，{XX}}，@ XX（XX
027_msg_error_selecionar_reporte					= 请选择一个报告。
027_msg_tag_substituicao							= 現場：{0}。標籤：^ ^應告知R或L前收盤標籤。例如^[ - ] R^：{1}。
027_msg_parametro_permitir_nulo						= 参数 {0} 报告 {1} 不正确配置报表服务器上。必须允许空值。

//CONTROLE DE CLIENTE, SUBCLIENTE, PTO SERVICO E GRUPO CLIENTE
028_btnBuscaCliente									= 搜索客户
028_btnBuscaSubCliente								= 搜索子客户端
028_btnBuscaPtoServicio								= 搜索服务点
028_tituloCliente									= 搜索客户
028_tituloSubCliente								= 搜索子客户端
028_tituloPtoServico								= 搜索服务点
028_lblCliente										= 顾客
028_lblSubcliente									= 子客户端
028_lblPuntoServicio								= 服务点
028_lblCodigo										= 码
028_lblDescricao									= 描述
028_lblCodigoSubCliente								= 子客户端代码
028_lblDescricaoSubCliente							= 德。子客户端
028_lblCodigoPtoServico								= 代码PTO服务
028_lblDescricaoPtoServico							= 德。 PTO服务
028_lblCodigoAlheio 								= 代码不经意
028_lblDescricaoAlheio 								= 德。外侨
028_lblCriterioBusca								= 搜索条件
028_lblGrupoClientes								= 集团客户

//PARAMETROS REPORTE SERVICE
029_msg_formato_data_invalido						= 日期格式：{0}无效。
029_msg_parametro_fecha_no_existe					= 该的参数P_FYH_CONTEO_DESDE，P_FEC_CONTEO_DESDE在报告中。
029_msg_prefixo_fecha_invalido						= 前缀数据：{0}无效。
029_msg_parametro_no_existe							= 参数{0}不存在在报告中。
029_msg_valor_parametro_cantidad					= 参数量输入的值应该是R或L：{0}
029_msg_valor_parametro_cantidad_numerico			= 参数量输入的值应该是，或LXX RXX XX应该是数字：{0}
029_msg_parametro_sin_cerrar						= 参数：{0}是不正确关闭。
029_msg_formato_invalido							= 无效的格式
029_msg_fecha_conteo_sin_valor						= 价值不迄今报道的计数。
029_msg_fecha_conteo_invalida						= 日期计数无效：{0}。
029_msg_fecha_transporte_sin_valor					= 价值不迄今报道的航运。
029_msg_fecha_transporte_invalida					= 数据传输无效：{0}。
029_msg_valor_no_informado							= 参数值{0}没有被告知。
029_msg_valor_parametro_cantidad_max				= 输入的值的参数量应该还是LXX RXX XX应该有最大值2147483647。

//CONTROLE INVENTARIO
030_lblSector										= 扇形
030_lblInventario									= 庫存
030_col_selecionar									= 選擇
030_col_inventario									= 庫存
030_col_data										= 日
030_lblNovo											= 新
030_lblHistorico									= 歷史

// WEBCONFIG
WEBCONFIG_CHAVE_INVALIDA							= Clave {0} no existe y o valor no válido {1}.

//Migracao do layout
genDelegacion									= Delegação
genPais											= País
genSector										= Setor

//CONTROLE CLIENTE
021_Cliente_Titulo								= Cliente
021_Cliente_Popup_Titulo						= Busqueda de Cliente
021_Cliente_Popup_Resultado						= Datos de Cliente
021_Cliente_Popup_Filtro						= Criterios de Busqueda

//CONTROLE SUBCLIENTE
022_SubCliente_Titulo							= SubCliente
022_SubCliente_Popup_Titulo						= Busqueda de SubCliente
022_SubCliente_Popup_Resultado					= Datos de SubCliente
022_SubCliente_Popup_Filtro						= Criterios de Busqueda

//CONTROLE PUNTO SERVICIO
023_PtoServicio_Titulo							= Punto de Servicio
023_PtoServicio_Popup_Titulo					= Busqueda de Punto de Servicio
023_PtoServicio_Popup_Resultado					= Datos de Punto de Servicio
023_PtoServicio_Popup_Filtro					= Criterios de Busqueda

//CONTROLE HELPER
014_codigo										= Código:
014_descricion									= Descripción:
014_selecao_campo								= Seleccione un campo
014_parametro_obrigatorio						= El parámetro '{0}' es obligatorio.
014_ConsiderarSectoresHijos						= Considerar los sectores hijos en el resultado de la búsqueda

//Calendario
bntProximo										= Próximo 
btnAnterior										= Anterior
btnMoverArriba									= Acima
btnMoverAbajo									= Abaixo
horas											= hora(s)
minutos											= minuto(s)
segundos										= segundo(s)
dias											= [ "Domingo", "Segunda", "Terça", "Quarta", "Quinta", "Sexta", "Sábado" ]
meses											= [ "Jan", "Fev", "Mar", "Abr", "Mai", "Jun", "Jul", "Ago", "Set", "Out", "Nov", "Dez" ]
btnAgora										= Agora 
btnConfirma										= Confirma

pagerFormatGrid									= Página {0} de {1} ({2} itens)

021_Resultado_busqueda_puestos					= Dados de Postos


022_Resultado_busqueda_Operarios					= Dados de Operários

002_lblCodigo									= Codigo
gen_sim											= Sim
gen_nao											= Não

002_lblDescripcion								= Descripción
btnaceitar									= Aceptar

027_lblFiltros										= Configuracion Filtro Reportes

//InformacionGenesis
InformacionGenesis_grid_FileName = Descripción
InformacionGenesis_grid_FileVersion = Versión del Archivo
InformacionGenesis_grid_ProductVersion = Versión del Producto

//InformacionReportes
InformacionReportes_titulo_pagina	= Información de Reportes {0}
InformacionReportes_lbl_SubTitulo	= Información de Reportes {0}
InformacionReportes_btnExportar		= Exportar
